BẢNG 1: BẢNG TRA REN MÉT THÔ (Coarse Pitch)
Công thức gia công:Đường kính mũi khoan taro: $d_k \approx d - P$Đường kính phôi tiện ren ngoài thực tế: $d_{thực\ tế} \approx d - (0.08 \div 0.1) \cdot P$

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
M1,0.25,0.75,1.00,0.97÷0.98
M1.2,0.25,0.95,1.20,1.17÷1.18
M1.4,0.30,1.10,1.40,1.36÷1.37
M1.6,0.35,1.25,1.60,1.55÷1.57
M2,0.40,1.60,2.00,1.94÷1.96
M2.5,0.45,2.05,2.50,2.43÷2.46
M3,0.50,2.50,3.00,2.92÷2.95
M3.5,0.60,2.90,3.50,3.40÷3.44
M4,0.70,3.30,4.00,3.88÷3.93
M5,0.80,4.20,5.00,4.87÷4.92
M6,1.00,5.00,6.00,5.85÷5.90
M8,1.25,6.80,8.00,7.82÷7.88
M10,1.50,8.50,10.00,9.80÷9.85
M12,1.75,10.20,12.00,11.77÷11.83
M14,2.00,12.00,14.00,13.74÷13.80
M16,2.00,14.00,16.00,15.74÷15.80
M18,2.50,15.50,18.00,17.68÷17.75
M20,2.50,17.50,20.00,19.68÷19.75
M22,2.50,19.50,22.00,21.68÷21.75
M24,3.00,21.00,24.00,23.62÷23.70
M27,3.00,24.00,27.00,26.62÷26.70
M30,3.50,26.50,30.00,29.58÷29.65
M33,3.50,29.50,33.00,32.58÷32.65
M36,4.00,32.00,36.00,35.52÷35.60
M39,4.00,35.00,39.00,38.52÷38.60
M42,4.50,37.50,42.00,41.46÷41.55
M45,4.50,40.50,45.00,44.46÷44.55
M48,5.00,43.00,48.00,47.40÷47.50
M52,5.00,47.00,52.00,51.40÷51.50
M56,5.50,50.50,56.00,55.35÷55.45
M60,5.50,54.50,60.00,59.35÷59.45
M64,6.00,58.00,64.00,63.30÷63.40

BẢNG 2: BẢNG TRA REN MÉT MỊN (Fine Pitch)
Ghi chú: Với một đường kính danh nghĩa, bảng liệt kê các bước ren mịn thông dụng trong cơ khí.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
M8,1.00,7.00,8.00,7.88÷7.92
M8,0.75,7.25,8.00,7.90÷7.94
M10,1.25,8.75,10.00,9.82÷9.88
M10,1.00,9.00,10.00,9.88÷9.92
M10,0.75,9.25,10.00,9.90÷9.94
M12,1.50,10.50,12.00,11.80÷11.85
M12,1.25,10.75,12.00,11.82÷11.88
M12,1.00,11.00,12.00,11.88÷11.92
M14,1.50,12.50,14.00,13.80÷13.85
M14,1.25,12.75,14.00,13.82÷13.88
M14,1.00,13.00,14.00,13.88÷13.92
M16,1.50,14.50,16.00,15.80÷15.85
M16,1.00,15.00,16.00,15.88÷15.92
M18,2.00,16.00,18.00,17.74÷17.80
M18,1.50,16.50,18.00,17.80÷17.85
M18,1.00,17.00,18.00,17.88÷17.92
M20,2.00,18.00,20.00,19.74÷19.80
M20,1.50,18.50,20.00,19.80÷19.85
M20,1.00,19.00,20.00,19.88÷19.92
M22,2.00,20.00,22.00,21.74÷21.80
M22,1.50,20.50,22.00,21.80÷21.85
M24,2.00,22.00,24.00,23.74÷23.80
M24,1.50,22.50,24.00,23.80÷23.85
M27,2.00,25.00,27.00,26.74÷26.80
M27,1.50,25.50,27.00,26.80÷26.85
M30,3.00,27.00,30.00,29.62÷29.70
M30,2.00,28.00,30.00,29.74÷29.80
M30,1.50,28.50,30.00,29.80÷29.85
M33,3.00,30.00,33.00,32.62÷32.70
M33,2.00,31.00,33.00,32.74÷32.80
M36,3.00,33.00,36.00,35.62÷35.70
M36,2.00,34.00,36.00,35.74÷35.80
M42,3.00,39.00,42.00,41.62÷41.70
M42,2.00,40.00,42.00,41.74÷41.80
M48,3.00,45.00,48.00,47.62÷47.70
M48,2.00,46.00,48.00,47.74÷47.80
M52,3.00,49.00,52.00,51.62÷51.70
M52,2.00,50.00,52.00,51.74÷51.80
M56,4.00,52.00,56.00,55.52÷55.60
M56,3.00,53.00,56.00,55.62÷55.70
M60,4.00,56.00,60.00,59.52÷59.60
M60,3.00,57.00,60.00,59.62÷59.70
M64,4.00,60.00,64.00,63.52÷63.60
M64,3.00,61.00,64.00,63.62÷63.70

BẢNG 1: TẤT CẢ CÁC KÍCH THƯỚC REN MỸ THÔ (UNC - Unified Coarse)
Bao gồm từ các cỡ số nhỏ (#1) đến các cỡ phân số lớn (2 inch).

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
#1-64 UNC,0.397,1.50,1.854,1.77÷1.81
#2-56 UNC,0.454,1.80,2.184,2.09÷2.13
#3-48 UNC,0.529,2.10,2.515,2.41÷2.46
#4-40 UNC,0.635,2.25,2.845,2.72÷2.78
#5-40 UNC,0.635,2.60,3.175,3.05÷3.11
#6-32 UNC,0.794,2.75,3.505,3.36÷3.43
#8-32 UNC,0.794,3.40,4.166,4.02÷4.09
#10-24 UNC,1.058,3.80,4.826,4.65÷4.73
#12-24 UNC,1.058,4.50,5.486,5.31÷5.39
"1/4""-20 UNC",1.270,5.10,6.350,6.15÷6.24
"5/16""-18 UNC",1.411,6.60,7.938,7.72÷7.82
"3/8""-16 UNC",1.588,8.00,9.525,9.28÷9.39
"7/16""-14 UNC",1.814,9.40,11.112,10.84÷10.96
"1/2""-13 UNC",1.954,10.80,12.700,12.41÷12.54
"9/16""-12 UNC",2.117,12.20,14.288,13.98÷14.12
"5/8""-11 UNC",2.309,13.50,15.875,15.54÷15.69
"3/4""-10 UNC",2.540,16.50,19.050,18.68÷18.84
"7/8""-9 UNC",2.822,19.50,22.225,21.82÷22.00
"1""-8 UNC",3.175,22.25,25.400,24.94÷25.14
"1-1/8""-7 UNC",3.629,25.00,28.575,28.05÷28.28
"1-1/4""-7 UNC",3.629,28.20,31.750,31.23÷31.45
"1-3/8""-6 UNC",4.233,30.75,34.925,34.31÷34.57
"1-1/2""-6 UNC",4.233,34.00,38.100,37.48÷37.75
"1-3/4""-5 UNC",5.080,39.50,44.450,43.70÷44.02
"2""-4.5 UNC",5.644,45.00,50.800,49.96÷50.31

BẢNG 2: TẤT CẢ CÁC KÍCH THƯỚC REN MỸ MỊN (UNF - Unified Fine)

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
#0-80 UNF,0.318,1.25,1.524,1.46÷1.49
#1-72 UNF,0.353,1.55,1.854,1.78÷1.82
#2-64 UNF,0.397,1.85,2.184,2.10÷2.14
#3-56 UNF,0.454,2.15,2.515,2.42÷2.47
