BẢNG 1: BẢNG TRA REN UNR SERIES (UNRC & UNRF - Ren ngoài đáy bo tròn)
Đặc tính: Ren ngoài có bán kính đáy bo tròn $R = 0.10825P \div 0.14434P$ giúp triệt tiêu tập trung ứng suất, chống nứt mỏi khi cán ren (rolled thread). Lắp ghép hoàn hảo với đai ốc tiêu chuẩn UNC/UNF.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm),Bán kính bo đáy ren ngoài R (mm)
#4-40 UNRC,0.635,2.25,2.845,2.72÷2.78,0.069÷0.092
#6-32 UNRC,0.794,2.75,3.505,3.36÷3.43,0.086÷0.115
#8-32 UNRC,0.794,3.40,4.166,4.02÷4.09,0.086÷0.115
#10-24 UNRC,1.058,3.80,4.826,4.65÷4.73,0.115÷0.153
#12-24 UNRC,1.058,4.50,5.486,5.31÷5.39,0.115÷0.153
"1/4""-20 UNRC",1.270,5.10,6.350,6.15÷6.24,0.137÷0.183
"5/16""-18 UNRC",1.411,6.60,7.938,7.72÷7.82,0.153÷0.204
"3/8""-16 UNRC",1.588,8.00,9.525,9.28÷9.39,0.172÷0.229
"7/16""-14 UNRC",1.814,9.40,11.112,10.84÷10.96,0.196÷0.262
"1/2""-13 UNRC",1.954,10.80,12.700,12.41÷12.54,0.212÷0.282
"9/16""-12 UNRC",2.117,12.20,14.288,13.98÷14.12,0.229÷0.306
"5/8""-11 UNRC",2.309,13.50,15.875,15.54÷15.69,0.250÷0.333
"3/4""-10 UNRC",2.540,16.50,19.050,18.68÷18.84,0.275÷0.367
"7/8""-9 UNRC",2.822,19.50,22.225,21.82÷22.00,0.305÷0.407
"1""-8 UNRC",3.175,22.25,25.400,24.94÷25.14,0.344÷0.458
"1-1/8""-7 UNRC",3.629,25.00,28.575,28.05÷28.28,0.393÷0.524
"1-1/4""-7 UNRC",3.629,28.20,31.750,31.23÷31.45,0.393÷0.524
"1-1/2""-6 UNRC",4.233,34.00,38.100,37.48÷37.75,0.458÷0.611
#0-80 UNRF,0.318,1.25,1.524,1.46÷1.49,0.034÷0.046
#2-64 UNRF,0.397,1.85,2.184,2.10÷2.14,0.043÷0.057
#4-48 UNRF,0.529,2.40,2.845,2.74÷2.79,0.057÷0.076
#6-40 UNRF,0.635,2.95,3.505,3.38÷3.44,0.069÷0.092
#8-36 UNRF,0.706,3.50,4.166,4.03÷4.10,0.076÷0.102
#10-32 UNRF,0.794,4.10,4.826,4.68÷4.75,0.086÷0.115
"1/4""-28 UNRF",0.907,5.50,6.350,6.21÷6.28,0.098÷0.131
"5/16""-24 UNRF",1.058,6.90,7.938,7.78÷7.86,0.115÷0.153
"3/8""-24 UNRF",1.058,8.50,9.525,9.37÷9.45,0.115÷0.153
"7/16""-20 UNRF",1.270,9.90,11.112,10.92÷11.01,0.137÷0.183
"1/2""-20 UNRF",1.270,11.50,12.700,12.50÷12.60,0.137÷0.183
"9/16""-18 UNRF",1.411,12.90,14.288,14.07÷14.17,0.153÷0.204
"5/8""-18 UNRF",1.411,14.50,15.875,15.66÷15.76,0.153÷0.204
"3/4""-16 UNRF",1.588,17.50,19.050,18.81÷18.92,0.172÷0.229
"7/8""-14 UNRF",1.814,20.40,22.225,21.96÷22.08,0.196÷0.262
"1""-12 UNRF",2.117,23.25,25.400,25.10÷25.24,0.229÷0.306

BẢNG 2: BẢNG TRA REN UNS SERIES (Unified Special Threads)
Đặc tính: Tổ hợp đường kính và bước ren (TPI) đặc biệt chuẩn hóa trong ANSI/ASME B1.1 cho các ngành khí tài, viễn thông, quang học và thiết bị đo.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm),Phạm vi / Lĩnh vực ứng dụng thực tế
"1/4""-24 UNS",1.058,5.30,6.350,6.18÷6.26,"Khóa cơ khí, thiết bị cầm tay"
"1/4""-36 UNS",0.706,5.70,6.350,6.22÷6.29,Đầu nối cáp RF / SMA Connector
"1/4""-40 UNS",0.635,5.80,6.350,6.24÷6.29,"Kính hiển vi, thiết bị đo trắc địa"
"1/4""-48 UNS",0.529,5.90,6.350,6.25÷6.30,"Vi chỉnh quang học, ống kính máy ảnh"
"5/16""-18 UNS",1.411,6.60,7.938,7.72÷7.82,Trục phụ tùng xe máy / ô tô Mỹ
"5/16""-36 UNS",0.706,7.30,7.938,7.81÷7.88,"Linh kiện bán dẫn, khí tài đo"
"3/8""-20 UNS",1.270,8.30,9.525,9.32÷9.42,Van điều áp khí công nghiệp
"3/8""-27 UNS",0.941,8.60,9.525,9.38÷9.45,Chân đế Micro âm thanh Châu Âu
"3/8""-36 UNS",0.706,8.90,9.525,9.40÷9.47,"Vỏ cảm biến, thiết bị y tế"
"7/16""-18 UNS",1.411,9.80,11.112,10.90÷11.00,Đầu nối thủy lực áp suất cao
"7/16""-24 UNS",1.058,10.10,11.112,10.93÷11.01,"Vỏ lọc dầu, phụ tùng xe"
"1/2""-14 UNS",1.814,11.00,12.700,12.44÷12.56,Khớp nối ống khí/thủy lực đặc biệt
"1/2""-18 UNS",1.411,11.40,12.700,12.48÷12.58,"Vỏ thiết bị điện, công tắc hành trình"
"1/2""-24 UNS",1.058,11.70,12.700,12.52÷12.60,"Linh kiện súng thể thao, quang học"
"1/2""-36 UNS",0.706,12.00,12.700,12.58÷12.64,"Ống nhôm mỏng, thiết bị định vị"
