BẢNG 1: DÒNG 8-UN (8 TPI - Bước ren $P = 3.175\text{ mm}$)
Ứng dụng chính: Dầu khí, hóa chất, mặt bích đường ống áp lực cao và van công nghiệp.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
"1""-8 8-UN",3.175,22.25,25.400,24.94÷25.14
"1-1/8""-8 8-UN",3.175,25.40,28.575,28.12÷28.32
"1-1/4""-8 8-UN",3.175,28.58,31.750,31.29÷31.49
"1-3/8""-8 8-UN",3.175,31.75,34.925,34.47÷34.67
"1-1/2""-8 8-UN",3.175,34.93,38.100,37.64÷37.84
"1-5/8""-8 8-UN",3.175,38.10,41.275,40.82÷41.02
"1-3/4""-8 8-UN",3.175,41.28,44.450,43.99÷44.19
"1-7/8""-8 8-UN",3.175,44.45,47.625,47.17÷47.37
"2""-8 8-UN",3.175,47.63,50.800,50.34÷50.54
"2-1/4""-8 8-UN",3.175,53.98,57.150,56.69÷56.89
"2-1/2""-8 8-UN",3.175,60.33,63.500,63.04÷63.24
"2-3/4""-8 8-UN",3.175,66.68,69.850,69.39÷69.59
"3""-8 8-UN",3.175,73.03,76.200,75.74÷75.94
"3-1/4""-8 8-UN",3.175,79.38,82.550,82.09÷82.29
"3-1/2""-8 8-UN",3.175,85.73,88.900,88.44÷88.64
"3-3/4""-8 8-UN",3.175,92.08,95.250,94.79÷94.99
"4""-8 8-UN",3.175,98.43,101.600,101.14÷101.34

BẢNG 2: DÒNG 12-UN (12 TPI - Bước ren $P = 2.117\text{ mm}$)
Ứng dụng chính: Ren mịn cho các đường kính trung bình và lớn, cần lực kẹp khít và độ bền cao.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
"1/2""-12 12-UN",2.117,10.58,12.700,12.44÷12.56
"9/16""-12 12-UN",2.117,12.17,14.288,14.02÷14.14
"5/8""-12 12-UN",2.117,13.75,15.875,15.60÷15.72
"11/16""-12 12-UN",2.117,15.35,17.462,17.18÷17.31
"3/4""-12 12-UN",2.117,16.93,19.050,18.78÷18.90
"13/16""-12 12-UN",2.117,18.52,20.638,20.36÷20.49
"7/8""-12 12-UN",2.117,20.10,22.225,21.95÷22.07
"1""-12 12-UN",2.117,23.28,25.400,25.10÷25.24
"1-1/8""-12 12-UN",2.117,26.46,28.575,28.27÷28.41
"1-1/4""-12 12-UN",2.117,29.63,31.750,31.45÷31.59
"1-3/8""-12 12-UN",2.117,32.81,34.925,34.62÷34.76
"1-1/2""-12 12-UN",2.117,35.98,38.100,37.80÷37.94
"1-3/4""-12 12-UN",2.117,42.33,44.450,44.15÷44.29
