BẢNG 1: BẢNG TRA DÒNG REN HÀNG KHÔNG VŨ TRỤ (UNJ Series - UNJC, UNJF, UNJEF)
Đặc tính kỹ thuật (MIL-S-8879 / AS8879):
Bán kính bo đáy ren ngoài bắt buộc lớn hơn tiêu chuẩn thông thường: $R = 0.1501P \div 0.1804P$.
Triệt tiêu góc sắn đáy ren, giúp bu-lông chống nứt mỏi động cơ học khi chịu tải nặng và rung động trong động cơ máy bay, tên lửa, tàu vũ trụ.
Đai ốc UNJ (ren trong) được mở rộng đường kính đáy $D_1$ để lắp vừa bu-lông UNJ.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính lỗ taro đai ốc UNJ dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm),Bán kính bo đáy ren ngoài UNJ R (mm)
#2-56 UNJC,0.454,1.85,2.184,2.09÷2.13,0.068÷0.082
#4-40 UNJC,0.635,2.30,2.845,2.72÷2.78,0.095÷0.115
#6-32 UNJC,0.794,2.80,3.505,3.36÷3.43,0.119÷0.143
#8-32 UNJC,0.794,3.45,4.166,4.02÷4.09,0.119÷0.143
#10-24 UNJC,1.058,3.90,4.826,4.65÷4.73,0.159÷0.191
"1/4""-20 UNJC",1.270,5.20,6.350,6.15÷6.24,0.191÷0.229
"5/16""-18 UNJC",1.411,6.70,7.938,7.72÷7.82,0.212÷0.255
"3/8""-16 UNJC",1.588,8.10,9.525,9.28÷9.39,0.238÷0.286
"7/16""-14 UNJC",1.814,9.55,11.112,10.84÷10.96,0.272÷0.327
"1/2""-13 UNJC",1.954,10.95,12.700,12.41÷12.54,0.293÷0.352
"9/16""-12 UNJC",2.117,12.35,14.288,13.98÷14.12,0.318÷0.382
"5/8""-11 UNJC",2.309,13.70,15.875,15.54÷15.69,0.347÷0.417
"3/4""-10 UNJC",2.540,16.70,19.050,18.68÷18.84,0.381÷0.458
"7/8""-9 UNJC",2.822,19.70,22.225,21.82÷22.00,0.424÷0.509
"1""-8 UNJC",3.175,22.50,25.400,24.94÷25.14,0.477÷0.573
"1-1/8""-7 UNJC",3.629,25.30,28.575,28.05÷28.28,0.545÷0.655
"1-1/4""-7 UNJC",3.629,28.50,31.750,31.23÷31.45,0.545÷0.655
"1-1/2""-6 UNJC",4.233,34.30,38.100,37.48÷37.75,0.635÷0.764
#0-80 UNJF,0.318,1.28,1.524,1.46÷1.49,0.048÷0.057
#2-64 UNJF,0.397,1.88,2.184,2.10÷2.14,0.060÷0.072
#4-48 UNJF,0.529,2.44,2.845,2.74÷2.79,0.079÷0.095
#6-40 UNJF,0.635,3.00,3.505,3.38÷3.44,0.095÷0.115
#8-36 UNJF,0.706,3.55,4.166,4.03÷4.10,0.106÷0.127
#10-32 UNJF,0.794,4.15,4.826,4.68÷4.75,0.119÷0.143
